i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,1
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,GROUP    : 410,DELIQUENCY GROUP,A,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20160000005718,90355338,NGUYEN VAN 155338,16,VND,31/10/2019,"354,759","4,434,490",31/10/2019
?,20160000005783,90356730,NGUYEN VAN 156730,16,VND,22/10/2019,"354,420","4,760,044",22/10/2019
?,20160000006021,90359464,NGUYEN VAN 159464,16,VND,22/10/2019,"498,898","5,171,572",22/10/2019
?,20160000006252,90364435,NGUYEN VAN 164435,16,VND,31/10/2019,"161,120","2,014,001",31/10/2019
?,20160000006427,90366178,NGUYEN VAN 166178,16,VND,22/10/2019,"385,870","4,903,378",22/10/2019
?,20160000007151,90376975,NGUYEN VAN 176975,16,VND,22/10/2019,"380,819","4,840,233",22/10/2019
?,20160000007664,90212115,NGUYEN VAN 12115,16,VND,22/10/2019,"787,854","5,126,162",22/10/2019
?,20160000007946,90384231,NGUYEN VAN 184231,16,VND,22/10/2019,"381,779","4,852,240",22/10/2019
?,20160000008183,90384365,NGUYEN VAN 184365,16,VND,22/10/2019,"687,694","5,346,383",22/10/2019
?,20160000008365,90383441,NGUYEN VAN 183441,16,VND,22/10/2019,"381,962","4,854,523",22/10/2019
?,20160000008514,90387243,NGUYEN VAN 187243,16,VND,31/10/2019,"378,585","4,732,314",31/10/2019
?,20160000008878,90391505,NGUYEN VAN 191505,16,VND,22/10/2019,"691,578","5,349,980",22/10/2019
?,20160000009124,90392138,NGUYEN VAN 192138,16,VND,22/10/2019,"375,759","5,176,991",22/10/2019
?,20170000000254,90288950,NGUYEN VAN 88950,17,VND,22/10/2019,"399,019","4,456,460",22/10/2019
?,20170000000395,90292886,NGUYEN VAN 92886,17,VND,22/10/2019,"302,129","3,599,054",22/10/2019
?,20170000000411,90292571,NGUYEN VAN 92571,17,VND,22/10/2019,"328,870","3,928,445",22/10/2019
?,20170000000494,901036301,NGUYEN THI 36291,17,VND,22/10/2019,"302,068","3,595,072",22/10/2019
?,20170000000619,90293459,NGUYEN VAN 93459,17,VND,22/10/2019,"242,845","3,115,564",22/10/2019
?,20170000000791,90297069,NGUYEN VAN 97069,17,VND,22/10/2019,"251,196","3,219,952",22/10/2019
?,20170000000833,90293890,NGUYEN VAN 93890,17,VND,22/10/2019,"296,613","3,604,370",22/10/2019
?,20170000000965,90293357,NGUYEN VAN 93357,17,VND,22/10/2019,"396,806","5,147,477",22/10/2019
?,20170000001096,90294572,NGUYEN VAN 94572,17,VND,31/10/2019,"344,635","4,307,942",31/10/2019
?,20170000001138,90294880,NGUYEN VAN 94880,17,VND,22/10/2019,"336,180","4,117,060",22/10/2019
?,20170000001203,90296796,NGUYEN VAN 96796,17,VND,22/10/2019,"253,599","4,166,807",22/10/2019
?,20170000001971,90352644,NGUYEN VAN 152644,17,VND,22/10/2019,"233,494","2,884,164",22/10/2019
?,20170000002193,90293527,NGUYEN VAN 93527,17,VND,22/10/2019,"243,331","3,121,636",22/10/2019
?,20170000002235,90302966,NGUYEN VAN 102966,17,VND,22/10/2019,"305,466","3,605,466",22/10/2019
